tweet_id,Dog_Breed,Stage,new_rating_num,tweet,source,created_at,display_text_range,favorite_count,retweet_count,rating_numerator(original),rating_denominator,name,jpg_url,img_num,tweet_link
892177421306343426,Chihuahua,,13,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10",Twitter for iPhone,8/1/2017 12:17:27 AM,"[0, 138]",32564,6117,13,10,Tilly,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,t.co/0Xxu71qeIV
891815181378084864,Chihuahua,,12,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10,Twitter for iPhone,7/31/2017 12:18:03 AM,"[0, 121]",24517,4051,12,10,Archie,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,t.co/wUnZnhtVJB
891689557279858688,Labrador_retriever,,13,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us,Twitter for iPhone,7/30/2017 3:58:51 PM,"[0, 79]",41266,8421,13,10,Darla,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,t.co/tD36da7qLQ
891327558926688256,basset,,12,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek",Twitter for iPhone,7/29/2017 4:00:24 PM,"[0, 138]",39440,9121,12,10,Franklin,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,t.co/AtUZn91f7f
891087950875897856,Chesapeake_Bay_retriever,,13,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek,Twitter for iPhone,7/29/2017 12:08:17 AM,"[0, 138]",19824,3036,13,10,,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,t.co/kQ04fDDRmh
890971913173991426,Appenzeller,,13,Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below,Twitter for iPhone,7/28/2017 4:27:12 PM,"[0, 140]",11591,2007,13,10,Jax,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,t.co/Zr4hWfAs1H
890729181411237888,Pomeranian,,13,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10,Twitter for iPhone,7/28/2017 12:22:40 AM,"[0, 118]",63955,18371,13,10,,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,t.co/v0nONBcwxq
890609185150312448,Irish_terrier,,13,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek,Twitter for iPhone,7/27/2017 4:25:51 PM,"[0, 122]",27230,4168,13,10,Zoey,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,t.co/9TwLuAGH0b
890240255349198849,Pembroke,doggo,14,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate,Twitter for iPhone,7/26/2017 3:59:51 PM,"[0, 133]",31245,7187,14,10,Cassie,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,t.co/t1bfwz5S2A
890006608113172480,Samoyed,,13,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek,Twitter for iPhone,7/26/2017 12:31:25 AM,"[0, 130]",30024,7139,13,10,Koda,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1,t.co/dVPW0B0Mme
889880896479866881,French_bulldog,,13,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy,Twitter for iPhone,7/25/2017 4:11:53 PM,"[0, 107]",27229,4846,13,10,Bruno,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,1,t.co/u1XPQMl29g
889665388333682689,Pembroke,,13,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10,Twitter for iPhone,7/25/2017 1:55:32 AM,"[0, 106]",47109,9778,13,10,,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,1,t.co/BxvuXk0UCm
889638837579907072,French_bulldog,,12,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist,Twitter for iPhone,7/25/2017 12:10:02 AM,"[0, 91]",26568,4407,12,10,Ted,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1,t.co/f8dEDcrKSR
889531135344209921,golden_retriever,,13,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek,Twitter for iPhone,7/24/2017 5:02:04 PM,"[0, 118]",14795,2191,13,10,Stuart,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,1,t.co/y70o6h3isq
889278841981685760,whippet,,13,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek,Twitter for iPhone,7/24/2017 12:19:32 AM,"[0, 138]",24705,5225,13,10,Oliver,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,1,t.co/WpHvrQedPb
888917238123831296,golden_retriever,,12,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both,Twitter for iPhone,7/23/2017 12:22:39 AM,"[0, 86]",28507,4389,12,10,Jim,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,1,t.co/chxruIOUJN
888804989199671297,golden_retriever,,13,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best,Twitter for iPhone,7/22/2017 4:56:37 PM,"[0, 128]",25033,4175,13,10,Zeke,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,1,t.co/HTQ77yNQ5K
888554962724278272,Siberian_husky,,13,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af,Twitter for iPhone,7/22/2017 12:23:06 AM,"[0, 87]",19405,3451,13,10,Ralphus,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,3,t.co/YnYAFCTTiK
888078434458587136,French_bulldog,,12,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway,Twitter for iPhone,7/20/2017 4:49:33 PM,"[0, 127]",21291,3402,12,10,Gerald,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,1,t.co/DK7iDPfuRX
887705289381826560,basset,,13,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic,Twitter for iPhone,7/19/2017 4:06:48 PM,"[0, 127]",29547,5250,13,10,Jeffrey,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,1,t.co/PhrUk20Q64
887473957103951883,Pembroke,,13,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her,Twitter for iPhone,7/19/2017 12:47:34 AM,"[0, 99]",67547,17700,13,10,Canela,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,2,t.co/cLyzpcUcMX
